PropertyID,Month,Revenue,Expenses
1,2025-01-01,450000,180000
2,2025-01-01,320000,140000
3,2025-01-01,290000,120000
4,2025-01-01,340000,140000
5,2025-01-01,410000,175000
6,2025-01-01,295000,120000
7,2025-01-01,260000,110000
8,2025-01-01,355000,150000
9,2025-01-01,390000,170000
10,2025-01-01,320000,135000
11,2025-01-01,430000,185000
12,2025-01-01,405000,170000
13,2025-01-01,335000,140000
14,2025-01-01,365000,155000
15,2025-01-01,280000,115000
16,2025-01-01,470000,200000
17,2025-01-01,385000,165000
18,2025-01-01,330000,145000
99,2025-01-01,200000,90000
